NEXT_PTS,NEXT_AST,NEXT_REB,NEXT_BLK,NEXT_STL,NEXT_TOV,NEXT_MIN,NEXT_FG3M,NEXT_FGA,NEXT_FTA,NEXT_FG_PCT,NEXT_FT_PCT
7.9,1.8,9.3,0.9,1.1,1.6,19.7,0.0,5.9,2.2,0.57,0.524
6.0,0.5,6.6,0.4,0.7,1.1,12.7,0.0,4.1,1.9,0.606,0.536
8.4,0.5,9.0,0.6,0.9,1.0,17.1,0.0,6.1,2.8,0.556,0.592
16.4,2.4,5.6,0.2,0.7,1.5,33.6,1.8,10.8,5.4,0.469,0.826
15.0,1.6,4.5,0.1,0.7,1.0,32.5,1.6,9.6,5.0,0.473,0.847
12.2,1.2,3.0,0.1,0.7,0.7,29.0,1.8,8.9,2.4,0.474,0.801
9.4,1.9,5.3,0.4,1.4,0.8,28.1,1.9,8.1,1.3,0.399,0.789
6.9,1.5,3.8,0.3,0.7,0.4,18.9,1.3,5.2,0.7,0.479,0.833
6.2,1.3,3.2,0.2,0.8,0.5,23.1,1.2,5.4,0.7,0.422,0.722
7.5,7.0,7.3,1.1,1.3,3.0,28.9,0.3,5.6,2.0,0.525,0.659
8.5,6.8,7.2,0.8,1.0,2.8,31.5,0.5,6.5,1.5,0.527,0.713
8.6,6.0,7.2,0.9,1.0,2.5,27.1,0.9,6.8,1.3,0.497,0.73
20.1,5.4,5.4,0.3,1.2,2.9,32.4,2.5,15.5,4.4,0.443,0.89
15.1,4.9,4.2,0.2,0.7,2.2,24.3,1.5,12.3,3.1,0.436,0.902
15.1,5.3,4.7,0.3,0.9,2.3,27.0,1.7,11.7,2.2,0.493,0.833
6.0,1.2,4.1,0.6,0.3,1.1,15.9,0.2,4.5,1.6,0.534,0.651
1.7,0.5,2.3,0.4,0.2,0.6,6.2,0.0,1.2,0.6,0.533,0.688
2.5,1.0,2.7,0.7,0.2,0.6,9.3,0.0,1.7,0.7,0.617,0.588
22.1,5.1,4.3,0.4,1.1,2.0,34.6,2.9,18.8,2.7,0.46,0.682
20.9,5.7,4.4,0.5,0.9,2.4,35.3,2.8,17.9,3.2,0.437,0.769
20.0,4.6,4.3,0.6,0.9,1.7,32.7,3.6,16.0,2.1,0.459,0.827
13.5,4.6,3.3,0.1,0.8,2.2,28.7,1.3,11.3,2.9,0.431,0.853
12.6,4.5,2.5,0.2,0.8,1.7,30.1,1.1,9.8,3.8,0.415,0.857
