PLAYER_ID,PLAYER_NAME,TEAM_NAME,TEAM_ABBREVIATION,SEASON,SEASON_ORDER,SCHOOL,COUNTRY,DRAFT_YEAR,HEIGHT
202699,Tobias Harris,Philadelphia 76ers,PHI,2022-23,3,Tennessee,USA,2011,6-8
202704,Reggie Jackson,LA Clippers,LAC,2020-21,1,Boston College,USA,2011,6-2
202704,Reggie Jackson,LA Clippers,LAC,2021-22,2,Boston College,USA,2011,6-2
202704,Reggie Jackson,Denver Nuggets,DEN,2022-23,3,Boston College,USA,2011,6-2
202709,Cory Joseph,Detroit Pistons,DET,2020-21,1,Texas,Canada,2011,6-2
202709,Cory Joseph,Detroit Pistons,DET,2021-22,2,Texas,Canada,2011,6-2
202709,Cory Joseph,Detroit Pistons,DET,2022-23,3,Texas,Canada,2011,6-2
202710,Jimmy Butler III,Miami Heat,MIA,2020-21,1,Marquette,USA,2011,6-6
202710,Jimmy Butler III,Miami Heat,MIA,2021-22,2,Marquette,USA,2011,6-6
202710,Jimmy Butler III,Miami Heat,MIA,2022-23,3,Marquette,USA,2011,6-6
203076,Anthony Davis,Los Angeles Lakers,LAL,2020-21,1,Kentucky,USA,2012,6-10
203076,Anthony Davis,Los Angeles Lakers,LAL,2021-22,2,Kentucky,USA,2012,6-10
203076,Anthony Davis,Los Angeles Lakers,LAL,2022-23,3,Kentucky,USA,2012,6-10
203078,Bradley Beal,Washington Wizards,WAS,2020-21,1,Florida,USA,2012,6-4
203078,Bradley Beal,Washington Wizards,WAS,2021-22,2,Florida,USA,2012,6-4
203078,Bradley Beal,Washington Wizards,WAS,2022-23,3,Florida,USA,2012,6-4
203081,Damian Lillard,Portland Trail Blazers,POR,2020-21,1,Weber State,USA,2012,6-2
203081,Damian Lillard,Portland Trail Blazers,POR,2021-22,2,Weber State,USA,2012,6-2
203081,Damian Lillard,Portland Trail Blazers,POR,2022-23,3,Weber State,USA,2012,6-2
203083,Andre Drummond,Los Angeles Lakers,LAL,2020-21,1,Connecticut,USA,2012,6-11
203083,Andre Drummond,Brooklyn Nets,BKN,2021-22,2,Connecticut,USA,2012,6-11
203083,Andre Drummond,Chicago Bulls,CHI,2022-23,3,Connecticut,USA,2012,6-11
203084,Harrison Barnes,Sacramento Kings,SAC,2020-21,1,North Carolina,USA,2012,6-7
203084,Harrison Barnes,Sacramento Kings,SAC,2021-22,2,North Carolina,USA,2012,6-7
203084,Harrison Barnes,Sacramento Kings,SAC,2022-23,3,North Carolina,USA,2012,6-7
203109,Jae Crowder,Phoenix Suns,PHX,2020-21,1,Marquette,USA,2012,6-6
203109,Jae Crowder,Phoenix Suns,PHX,2021-22,2,Marquette,USA,2012,6-6
203109,Jae Crowder,Milwaukee Bucks,MIL,2022-23,3,Marquette,USA,2012,6-6
203110,Draymond Green,Golden State Warriors,GSW,2020-21,1,Michigan State,USA,2012,6-6
203110,Draymond Green,Golden State Warriors,GSW,2021-22,2,Michigan State,USA,2012,6-6
203110,Draymond Green,Golden State Warriors,GSW,2022-23,3,Michigan State,USA,2012,6-6
203114,Khris Middleton,Milwaukee Bucks,MIL,2020-21,1,Texas A&M,USA,2012,6-7
203114,Khris Middleton,Milwaukee Bucks,MIL,2021-22,2,Texas A&M,USA,2012,6-7
203114,Khris Middleton,Milwaukee Bucks,MIL,2022-23,3,Texas A&M,USA,2012,6-7
203458,Alex Len,Washington Wizards,WAS,2020-21,1,Maryland,Ukraine,2013,7-0
203458,Alex Len,Sacramento Kings,SAC,2021-22,2,Maryland,Ukraine,2013,7-0
203458,Alex Len,Sacramento Kings,SAC,2022-23,3,Maryland,Ukraine,2013,7-0
203468,CJ McCollum,Portland Trail Blazers,POR,2020-21,1,Lehigh,USA,2013,6-3
203468,CJ McCollum,New Orleans Pelicans,NOP,2021-22,2,Lehigh,USA,2013,6-3
203468,CJ McCollum,New Orleans Pelicans,NOP,2022-23,3,Lehigh,USA,2013,6-3
203471,Dennis Schröder,Los Angeles Lakers,LAL,2020-21,1,Braunschweig,Germany,2013,6-1
203471,Dennis Schröder,Houston Rockets,HOU,2021-22,2,Braunschweig,Germany,2013,6-1
203471,Dennis Schröder,Los Angeles Lakers,LAL,2022-23,3,Braunschweig,Germany,2013,6-1
203482,Kelly Olynyk,Houston Rockets,HOU,2020-21,1,Gonzaga,Canada,2013,7-0
203482,Kelly Olynyk,Detroit Pistons,DET,2021-22,2,Gonzaga,Canada,2013,7-0
203482,Kelly Olynyk,Utah Jazz,UTA,2022-23,3,Gonzaga,Canada,2013,7-0
203484,Kentavious Caldwell-Pope,Los Angeles Lakers,LAL,2020-21,1,Georgia,USA,2013,6-5
203484,Kentavious Caldwell-Pope,Washington Wizards,WAS,2021-22,2,Georgia,USA,2013,6-5
203484,Kentavious Caldwell-Pope,Denver Nuggets,DEN,2022-23,3,Georgia,USA,2013,6-5
203486,Mason Plumlee,Detroit Pistons,DET,2020-21,1,Duke,USA,2013,7-0
203486,Mason Plumlee,Charlotte Hornets,CHA,2021-22,2,Duke,USA,2013,7-0
203486,Mason Plumlee,LA Clippers,LAC,2022-23,3,Duke,USA,2013,7-0
203497,Rudy Gobert,Utah Jazz,UTA,2020-21,1,Cholet,France,2013,7-1
203497,Rudy Gobert,Utah Jazz,UTA,2021-22,2,Cholet,France,2013,7-1
203497,Rudy Gobert,Minnesota Timberwolves,MIN,2022-23,3,Cholet,France,2013,7-1
203500,Steven Adams,New Orleans Pelicans,NOP,2020-21,1,Pittsburgh,New Zealand,2013,6-11
203500,Steven Adams,Memphis Grizzlies,MEM,2021-22,2,Pittsburgh,New Zealand,2013,6-11
203500,Steven Adams,Memphis Grizzlies,MEM,2022-23,3,Pittsburgh,New Zealand,2013,6-11
203501,Tim Hardaway Jr.,Dallas Mavericks,DAL,2020-21,1,Michigan,USA,2013,6-5
203501,Tim Hardaway Jr.,Dallas Mavericks,DAL,2021-22,2,Michigan,USA,2013,6-5
203501,Tim Hardaway Jr.,Dallas Mavericks,DAL,2022-23,3,Michigan,USA,2013,6-5
203507,Giannis Antetokounmpo,Milwaukee Bucks,MIL,2020-21,1,Filathlitikos,Greece,2013,6-11
203507,Giannis Antetokounmpo,Milwaukee Bucks,MIL,2021-22,2,Filathlitikos,Greece,2013,6-11
203507,Giannis Antetokounmpo,Milwaukee Bucks,MIL,2022-23,3,Filathlitikos,Greece,2013,6-11
203552,Seth Curry,Philadelphia 76ers,PHI,2020-21,1,Duke,USA,Undrafted,6-1
203552,Seth Curry,Brooklyn Nets,BKN,2021-22,2,Duke,USA,Undrafted,6-1
203552,Seth Curry,Brooklyn Nets,BKN,2022-23,3,Duke,USA,Undrafted,6-1
203897,Zach LaVine,Chicago Bulls,CHI,2020-21,1,UCLA,USA,2014,6-5
203897,Zach LaVine,Chicago Bulls,CHI,2021-22,2,UCLA,USA,2014,6-5
203897,Zach LaVine,Chicago Bulls,CHI,2022-23,3,UCLA,USA,2014,6-5
203901,Elfrid Payton,New York Knicks,NYK,2020-21,1,Louisana-Lafayette,USA,2014,6-3
203901,Elfrid Payton,Phoenix Suns,PHX,2021-22,2,Louisana-Lafayette,USA,2014,6-3
203903,Jordan Clarkson,Utah Jazz,UTA,2020-21,1,Missouri,USA,2014,6-5
203903,Jordan Clarkson,Utah Jazz,UTA,2021-22,2,Missouri,USA,2014,6-5
203903,Jordan Clarkson,Utah Jazz,UTA,2022-23,3,Missouri,USA,2014,6-5
203914,Gary Harris,Orlando Magic,ORL,2020-21,1,Michigan State,USA,2014,6-4
203914,Gary Harris,Orlando Magic,ORL,2021-22,2,Michigan State,USA,2014,6-4
203914,Gary Harris,Orlando Magic,ORL,2022-23,3,Michigan State,USA,2014,6-4
203915,Spencer Dinwiddie,Dallas Mavericks,DAL,2021-22,2,Colorado,USA,2014,6-5
203915,Spencer Dinwiddie,Brooklyn Nets,BKN,2022-23,3,Colorado,USA,2014,6-5
203924,Jerami Grant,Detroit Pistons,DET,2020-21,1,Syracuse,USA,2014,6-7
203924,Jerami Grant,Detroit Pistons,DET,2021-22,2,Syracuse,USA,2014,6-7
203924,Jerami Grant,Portland Trail Blazers,POR,2022-23,3,Syracuse,USA,2014,6-7
203926,Doug McDermott,Indiana Pacers,IND,2020-21,1,Creighton,USA,2014,6-7
203926,Doug McDermott,San Antonio Spurs,SAS,2021-22,2,Creighton,USA,2014,6-7
203926,Doug McDermott,San Antonio Spurs,SAS,2022-23,3,Creighton,USA,2014,6-7
203932,Aaron Gordon,Denver Nuggets,DEN,2020-21,1,Arizona,USA,2014,6-8
203932,Aaron Gordon,Denver Nuggets,DEN,2021-22,2,Arizona,USA,2014,6-8
203932,Aaron Gordon,Denver Nuggets,DEN,2022-23,3,Arizona,USA,2014,6-8
203935,Marcus Smart,Boston Celtics,BOS,2020-21,1,Oklahoma State,USA,2014,6-3
203935,Marcus Smart,Boston Celtics,BOS,2021-22,2,Oklahoma State,USA,2014,6-3
203935,Marcus Smart,Boston Celtics,BOS,2022-23,3,Oklahoma State,USA,2014,6-3
203937,Kyle Anderson,Memphis Grizzlies,MEM,2020-21,1,UCLA,USA,2014,6-8
203937,Kyle Anderson,Memphis Grizzlies,MEM,2021-22,2,UCLA,USA,2014,6-8
203937,Kyle Anderson,Minnesota Timberwolves,MIN,2022-23,3,UCLA,USA,2014,6-8
203939,Dwight Powell,Dallas Mavericks,DAL,2020-21,1,Stanford,Canada,2014,6-10
203939,Dwight Powell,Dallas Mavericks,DAL,2021-22,2,Stanford,Canada,2014,6-10
203939,Dwight Powell,Dallas Mavericks,DAL,2022-23,3,Stanford,Canada,2014,6-10
203944,Julius Randle,New York Knicks,NYK,2020-21,1,Kentucky,USA,2014,6-9
203944,Julius Randle,New York Knicks,NYK,2021-22,2,Kentucky,USA,2014,6-9
203944,Julius Randle,New York Knicks,NYK,2022-23,3,Kentucky,USA,2014,6-9
203952,Andrew Wiggins,Golden State Warriors,GSW,2020-21,1,Kansas,Canada,2014,6-6
203952,Andrew Wiggins,Golden State Warriors,GSW,2021-22,2,Kansas,Canada,2014,6-6
203952,Andrew Wiggins,Golden State Warriors,GSW,2022-23,3,Kansas,Canada,2014,6-6
203954,Joel Embiid,Philadelphia 76ers,PHI,2020-21,1,Kansas,Cameroon,2014,7-0
203954,Joel Embiid,Philadelphia 76ers,PHI,2021-22,2,Kansas,Cameroon,2014,7-0
203954,Joel Embiid,Philadelphia 76ers,PHI,2022-23,3,Kansas,Cameroon,2014,7-0
203967,Dario Šarić,Phoenix Suns,PHX,2020-21,1,Anadolu Efes,Croatia,2014,6-10
203967,Dario Šarić,Oklahoma City Thunder,OKC,2022-23,3,Anadolu Efes,Croatia,2014,6-10
203991,Clint Capela,Atlanta Hawks,ATL,2020-21,1,Elan Chalon,Switzerland,2014,6-10
203991,Clint Capela,Atlanta Hawks,ATL,2021-22,2,Elan Chalon,Switzerland,2014,6-10
203991,Clint Capela,Atlanta Hawks,ATL,2022-23,3,Elan Chalon,Switzerland,2014,6-10
203992,Bogdan Bogdanović,Atlanta Hawks,ATL,2020-21,1,Fenerbahce,Serbia,2014,6-5
203992,Bogdan Bogdanović,Atlanta Hawks,ATL,2021-22,2,Fenerbahce,Serbia,2014,6-5
203992,Bogdan Bogdanović,Atlanta Hawks,ATL,2022-23,3,Fenerbahce,Serbia,2014,6-5
203994,Jusuf Nurkić,Portland Trail Blazers,POR,2020-21,1,Cedevita,Bosnia and Herzegovina,2014,6-11
203994,Jusuf Nurkić,Portland Trail Blazers,POR,2021-22,2,Cedevita,Bosnia and Herzegovina,2014,6-11
203994,Jusuf Nurkić,Portland Trail Blazers,POR,2022-23,3,Cedevita,Bosnia and Herzegovina,2014,6-11
203999,Nikola Jokić,Denver Nuggets,DEN,2020-21,1,Mega Basket,Serbia,2014,6-11
203999,Nikola Jokić,Denver Nuggets,DEN,2021-22,2,Mega Basket,Serbia,2014,6-11
203999,Nikola Jokić,Denver Nuggets,DEN,2022-23,3,Mega Basket,Serbia,2014,6-11
204001,Kristaps Porziņģis,Dallas Mavericks,DAL,2020-21,1,Cajasol Sevilla,Latvia,2015,7-2
204001,Kristaps Porziņģis,Washington Wizards,WAS,2021-22,2,Cajasol Sevilla,Latvia,2015,7-2
204001,Kristaps Porziņģis,Washington Wizards,WAS,2022-23,3,Cajasol Sevilla,Latvia,2015,7-2
204060,Joe Ingles,Utah Jazz,UTA,2020-21,1,Maccabi Tel Aviv,Australia,Undrafted,6-8
204060,Joe Ingles,Portland Trail Blazers,POR,2021-22,2,Maccabi Tel Aviv,Australia,Undrafted,6-8
204060,Joe Ingles,Milwaukee Bucks,MIL,2022-23,3,Maccabi Tel Aviv,Australia,Undrafted,6-8
204456,T.J. McConnell,Indiana Pacers,IND,2020-21,1,Arizona,USA,2015,6-1
204456,T.J. McConnell,Indiana Pacers,IND,2021-22,2,Arizona,USA,2015,6-1
204456,T.J. McConnell,Indiana Pacers,IND,2022-23,3,Arizona,USA,2015,6-1
1626145,Tyus Jones,Memphis Grizzlies,MEM,2020-21,1,Duke,USA,2015,6-0
1626145,Tyus Jones,Memphis Grizzlies,MEM,2021-22,2,Duke,USA,2015,6-0
